TaskUID,ActualStart,ActualFinish,ActualDurationDays,PercentComplete,ActualCost
2,2026-02-02,2026-02-02,1,100,20000
3,2026-02-03,2026-02-03,1,100,20000
4,2026-02-04,2026-02-05,2,100,35200
5,2026-02-06,2026-02-06,0,100,0
6,2026-02-06,2026-02-06,1,100,17600
8,2026-02-09,2026-02-10,2,100,40000
9,2026-02-11,2026-02-11,1,100,20000
10,2026-02-12,2026-02-12,1,100,20000
11,2026-02-13,2026-02-13,1,100,17500
12,2026-02-16,2026-02-16,1,100,20000
13,2026-02-16,2026-02-16,1,100,17600
14,2026-02-17,2026-02-17,1,100,20000
15,2026-02-18,2026-02-18,0,100,0
16,2026-02-18,2026-02-18,1,100,20000
17,2026-02-19,2026-02-19,1,100,10000
18,2026-02-19,2026-02-19,1,100,10000
19,2026-02-19,2026-02-19,0,100,0
21,2026-02-20,2026-02-20,0,100,0
22,2026-02-23,2026-02-24,2,100,40000
23,2026-02-25,2026-02-25,1,100,20000
24,2026-02-26,2026-02-26,1,100,20000
25,2026-02-26,2026-02-26,0,100,8800
26,2026-02-27,2026-02-27,0,100,8800
27,2026-03-02,2026-03-02,0,100,15400
