AssignmentID,TaskUID,ResourceID,ResourceName,Units,WorkHours,Cost,Start,Finish,Notes
A-001,2,R-001,"Руководитель проекта",100%,8,20000,2026-02-02,2026-02-02,"Уточнение темы проекта"
A-002,3,R-001,"Руководитель проекта",100%,8,20000,2026-02-03,2026-02-03,"Формирование паспорта проекта"
A-003,4,R-002,"Системный аналитик",100%,16,35200,2026-02-04,2026-02-05,"Анализ требований практических работ"
A-004,6,R-002,"Системный аналитик",100%,8,17600,2026-02-06,2026-02-06,"Формирование постановки задачи"
A-005,8,R-001,"Руководитель проекта",100%,16,40000,2026-02-09,2026-02-10,"Формирование WBS"
A-006,9,R-001,"Руководитель проекта",100%,8,20000,2026-02-11,2026-02-11,"Подготовка календаря проекта"
A-007,10,R-001,"Руководитель проекта",100%,8,20000,2026-02-12,2026-02-12,"Формирование первичного списка задач"
A-008,11,R-001,"Руководитель проекта",100%,7,17500,2026-02-13,2026-02-13,"Определение длительности задач; пятница 7 часов"
A-009,12,R-001,"Руководитель проекта",100%,8,20000,2026-02-16,2026-02-16,"Настройка связей задач"
A-010,13,R-002,"Системный аналитик",100%,8,17600,2026-02-16,2026-02-16,"Параллельная работа без конфликта: другой ресурс"
A-011,14,R-001,"Руководитель проекта",100%,8,20000,2026-02-17,2026-02-17,"Фиксация ограничений задач"
A-012,16,R-001,"Руководитель проекта",50%,4,10000,2026-02-18,2026-02-18,"Настройка ресурсов; совмещено с вехой без перегрузки"
A-013,17,R-001,"Руководитель проекта",50%,4,10000,2026-02-19,2026-02-19,"Назначение ресурсов; 50% после выравнивания"
A-014,18,R-001,"Руководитель проекта",50%,4,10000,2026-02-19,2026-02-19,"Анализ ресурсных перегрузок; 50% после выравнивания"
A-015,22,R-001,"Руководитель проекта",100%,8,20000,2026-02-23,2026-02-23,"Ввод фактических данных"
A-016,23,R-001,"Руководитель проекта",100%,8,20000,2026-02-24,2026-02-24,"Расчёт отклонений"
A-017,24,R-001,"Руководитель проекта",100%,8,20000,2026-02-25,2026-02-25,"Расчёт освоенного объёма"
A-018,25,R-002,"Системный аналитик",50%,4,8800,2026-02-26,2026-02-26,"Отчёт практики №1; 50%"
A-019,26,R-002,"Системный аналитик",50%,4,8800,2026-02-26,2026-02-26,"Отчёт практики №2 часть 1; 50%, суммарно 100%"
A-020,27,R-002,"Системный аналитик",100%,7,15400,2026-02-27,2026-02-27,"Отчёт практики №2 часть 2; пятница 7 часов"
