TaskUID,Title,PlannedValue,EarnedValue,ActualCost,ScheduleVarianceEV,CostVarianceEV,SPI,CPI,Comment
2,"Уточнение темы проекта",20000,20000,20000,0,0,1.00,1.00,"В норме"
3,"Формирование паспорта проекта",20000,20000,20000,0,0,1.00,1.00,"В норме"
4,"Анализ требований практических работ",35200,35200,35200,0,0,1.00,1.00,"В норме"
6,"Формирование постановки задачи",17600,17600,17600,0,0,1.00,1.00,"В норме"
8,"Формирование WBS",40000,40000,40000,0,0,1.00,1.00,"В норме"
9,"Подготовка календаря проекта",20000,20000,20000,0,0,1.00,1.00,"В норме"
10,"Формирование первичного списка задач",20000,20000,20000,0,0,1.00,1.00,"В норме"
11,"Определение длительности задач",17500,17500,17500,0,0,1.00,1.00,"В норме"
12,"Настройка связей задач",20000,20000,20000,0,0,1.00,1.00,"В норме"
13,"Определение параллельных работ",17600,17600,17600,0,0,1.00,1.00,"В норме"
14,"Фиксация ограничений задач",20000,20000,20000,0,0,1.00,1.00,"В норме"
16,"Настройка проектных ресурсов",20000,20000,20000,0,0,1.00,1.00,"В норме"
17,"Назначение ресурсов задачам",10000,10000,10000,0,0,1.00,1.00,"В норме"
18,"Анализ ресурсных перегрузок",10000,10000,10000,0,0,1.00,1.00,"В норме"
22,"Ввод фактических данных",20000,20000,40000,0,-20000,1.00,0.50,"Перерасход из-за увеличения фактической длительности"
23,"Расчёт отклонений от baseline",20000,20000,20000,0,0,1.00,1.00,"В норме"
24,"Расчёт освоенного объёма",20000,20000,20000,0,0,1.00,1.00,"В норме"
25,"Подготовка отчёта практики №1",8800,8800,8800,0,0,1.00,1.00,"В норме"
26,"Подготовка отчёта практики №2 часть 1",8800,8800,8800,0,0,1.00,1.00,"В норме"
27,"Подготовка отчёта практики №2 часть 2",15400,15400,15400,0,0,1.00,1.00,"В норме"
TOTAL,"Итого",361900,361900,381900,0,-20000,1.00,0.95,"Сроковой индекс в норме; стоимостной индекс ниже 1 из-за перерасхода"
