UID,WBS,Title,Practice,Summary,Milestone,DurationDays,Start,Finish,Predecessors,DependencyType,ConstraintType,ConstraintDate,ResourceNames,Critical,Status,DeliverablePath
1,1,"Инициация проекта","practice-01",true,false,1,,,,,,,"Руководитель проекта",false,planned,"PROJECT_CHARTER.md"
2,1.1,"Уточнение темы проекта","practice-01",false,false,1,,,,,,,"Руководитель проекта",false,planned,"PROJECT_CHARTER.md"
3,1.2,"Формирование паспорта проекта","practice-01",false,false,1,,"",2,FS,,,"Руководитель проекта",false,planned,"PROJECT_CHARTER.md"
4,1.3,"Анализ требований практических работ","practice-01",false,false,2,,"",3,FS,,,"Системный аналитик",true,planned,"docs/assignment-map.md"
5,1.4,"Подготовка карты соответствия заданий","practice-01",false,true,1,,"",4,FS,,,"Системный аналитик",true,planned,"docs/assignment-map.md"
6,2,"Календарное и ресурсное планирование","practice-02-1",true,false,1,,,,,,,"Руководитель проекта",false,planned,"docs/planning/"
7,2.1,"Формирование WBS","practice-01",false,false,2,,"",5,FS,,,"Руководитель проекта",true,planned,"docs/planning/work-breakdown-structure.md"
8,2.2,"Подготовка календаря проекта","practice-01",false,false,1,,"",7,FS,,,"Руководитель проекта",true,planned,"project/msproject/"
9,2.3,"Настройка проектных ресурсов","practice-02-1",false,false,1,,"",8,FS,,,"Руководитель проекта",true,planned,"docs/planning/resource-plan.md"
10,2.4,"Определение длительности задач","practice-01",false,false,1,,"",9,FS,,,"Руководитель проекта",true,planned,"project/msproject/exports/tasks.csv"
11,2.5,"Настройка связей задач","practice-02-1",false,false,1,,"",10,FS,,,"Руководитель проекта",true,planned,"docs/planning/dependencies.md"
12,2.6,"Определение параллельных работ","practice-02-1",false,false,1,,"",11,SS,,,"Руководитель проекта",false,planned,"docs/planning/dependencies.md"
13,2.7,"Определение критического пути","practice-02-1",false,true,1,,"",11,FS,,,"Руководитель проекта",true,planned,"docs/planning/critical-path.md"
14,2.8,"Назначение ресурсов задачам","practice-02-1",false,false,1,,"",13,FS,,,"Руководитель проекта",true,planned,"project/msproject/exports/assignments.csv"
15,2.9,"Анализ ресурсных перегрузок","practice-02-1",false,false,1,,"",14,FS,,,"Руководитель проекта",true,planned,"docs/planning/resource-load.md"
16,2.10,"Выравнивание загрузки ресурсов","practice-02-1",false,true,1,,"",15,FS,,,"Руководитель проекта",true,planned,"docs/planning/resource-leveling.md"
17,3,"Контроль исполнения и отчётность","practice-02-2",true,false,1,,,,,,,"Руководитель проекта",false,planned,"docs/planning/"
18,3.1,"Создание базового плана","practice-02-2",false,true,1,,"",16,FS,,,"Руководитель проекта",true,planned,"docs/planning/baseline-plan.md"
19,3.2,"Ввод фактических данных","practice-02-2",false,false,1,,"",18,FS,,,"Руководитель проекта",false,planned,"project/msproject/exports/actuals.csv"
20,3.3,"Анализ отклонений по срокам","practice-02-2",false,false,1,,"",19,FS,,,"Руководитель проекта",false,planned,"docs/planning/actual-progress.md"
21,3.4,"Анализ отклонений по стоимости","practice-02-2",false,false,1,,"",19,FS,,,"Руководитель проекта",false,planned,"docs/planning/earned-value.md"
22,3.5,"Подготовка отчётов по проекту","practice-02-2",false,true,1,,"",20,FS,,,"Руководитель проекта",false,planned,"project/msproject/exports/reports/"
23,4,"Функциональное моделирование","practice-03",true,false,1,,,,,,,"Системный аналитик",false,planned,"models/idef/"
24,4.1,"Создание IDEF0-модели","practice-03",false,true,2,,"",22,FS,,,"Системный аналитик",false,planned,"models/idef/idef0-context.drawio"
25,4.2,"Создание IDEF3-модели","practice-04",false,true,2,,"",24,FS,,,"Системный аналитик",false,planned,"models/idef/idef3-process.drawio"
26,5,"UML-моделирование","practice-05",true,false,1,,,,,,,"Системный аналитик",false,planned,"models/uml/"
27,5.1,"Создание UML Use Case","practice-05",false,true,1,,"",25,FS,,,"Системный аналитик",false,planned,"models/uml/use-case.puml"
28,5.2,"Создание UML Sequence","practice-05",false,true,1,,"",27,FS,,,"Системный аналитик",false,planned,"models/uml/sequence.puml"
29,5.3,"Создание UML Class Diagram","practice-06",false,true,1,,"",28,FS,,,"Системный аналитик",false,planned,"models/uml/class-diagram.puml"
30,5.4,"Создание UML Activity Diagram","practice-06",false,true,1,,"",29,FS,,,"Системный аналитик",false,planned,"models/uml/activity.puml"
31,6,"BPMN-моделирование","practice-08",true,false,1,,,,,,,"Системный аналитик",false,planned,"models/bpmn/"
32,6.1,"Создание первого BPMN-процесса","practice-08",false,true,2,,"",30,FS,,,"Системный аналитик;Data Scientist",false,planned,"models/bpmn/pricing-data-preparation.bpmn"
33,6.2,"Создание второго BPMN-процесса","practice-09",false,true,2,,"",32,FS,,,"Системный аналитик;Data Scientist",false,planned,"models/bpmn/pricing-model-deployment.bpmn"
34,6.3,"Документирование BPMN-процесса","practice-10",false,true,2,,"",33,FS,,,"Системный аналитик",false,planned,"docs/reports/practice-10-business-process-report.md"
35,7,"Имитационное моделирование","practice-11",true,false,1,,,,,,,"Системный аналитик",false,planned,"models/bpmn/simulation/"
36,7.1,"Подготовка сценария КАК ЕСТЬ","practice-11",false,false,1,,"",34,FS,,,"Системный аналитик",false,planned,"models/bpmn/simulation/as-is-scenario.md"
37,7.2,"Подготовка сценария КАК ДОЛЖНО БЫТЬ","practice-11",false,false,1,,"",36,FS,,,"Системный аналитик;Data Scientist",false,planned,"models/bpmn/simulation/to-be-scenario.md"
38,7.3,"Сравнение сценариев бизнес-процесса","practice-11",false,true,1,,"",37,FS,,,"Системный аналитик",false,planned,"docs/reports/practice-11-as-is-simulation.xlsx"
39,8,"Риски и итоговая комплектация","practice-12",true,false,1,,,,,,,"Руководитель проекта",false,planned,"docs/risk-management/"
40,8.1,"Формирование реестра рисков","practice-12",false,false,1,,"",38,FS,,,"Руководитель проекта",false,planned,"docs/risk-management/risk-register.md"
41,8.2,"Количественный анализ рисков","practice-12",false,false,1,,"",40,FS,,,"Руководитель проекта;Data Scientist",false,planned,"docs/risk-management/probability-distribution.svg"
42,8.3,"Подготовка презентации по успешным проектам","practice-07",false,false,2,,"",25,SS,,,"Руководитель проекта",false,planned,"docs/presentations/practice-07-successful-projects.pptx"
43,8.4,"Финальная комплектация артефактов","practice-12",false,true,1,,"",41,FS,,,"Руководитель проекта",true,planned,"releases/"
