TaskUID,Title,BaselineDurationDays,ActualDurationDays,DurationVarianceDays,BaselineCost,ActualCost,CostVariance,PercentComplete,StatusComment
2,"Уточнение темы проекта",1,1,0,20000,20000,0,100,"Выполнено по плану"
3,"Формирование паспорта проекта",1,1,0,20000,20000,0,100,"Выполнено по плану"
4,"Анализ требований практических работ",2,2,0,35200,35200,0,100,"Выполнено по плану"
5,"Подготовка карты соответствия заданий",0,0,0,0,0,0,100,"Веха выполнена"
6,"Формирование постановки задачи",1,1,0,17600,17600,0,100,"Закрывает замечание о постановке задачи"
8,"Формирование WBS",2,2,0,40000,40000,0,100,"Выполнено по плану"
9,"Подготовка календаря проекта",1,1,0,20000,20000,0,100,"Выполнено по плану"
10,"Формирование первичного списка задач",1,1,0,20000,20000,0,100,"Выполнено по плану"
11,"Определение длительности задач",1,1,0,17500,17500,0,100,"Выполнено по пятничному календарю"
12,"Настройка связей задач",1,1,0,20000,20000,0,100,"Выполнено по плану"
13,"Определение параллельных работ",1,1,0,17600,17600,0,100,"Параллельная работа без ресурсного конфликта"
14,"Фиксация ограничений задач",1,1,0,20000,20000,0,100,"Выполнено по плану"
15,"Определение критического пути",0,0,0,0,0,0,100,"Веха выполнена"
16,"Настройка проектных ресурсов",1,1,0,20000,20000,0,100,"Выполнено по плану"
17,"Назначение ресурсов задачам",1,1,0,10000,10000,0,100,"Назначение 50%, перегрузки нет"
18,"Анализ ресурсных перегрузок",1,1,0,10000,10000,0,100,"Назначение 50%, перегрузки нет"
19,"Выравнивание загрузки ресурсов",0,0,0,0,0,0,100,"Веха выполнена"
21,"Создание базового плана",0,0,0,0,0,0,100,"Baseline зафиксирован"
22,"Ввод фактических данных",1,2,1,20000,40000,20000,100,"Фактическая длительность выше baseline на 1 день"
23,"Расчёт отклонений от baseline",1,1,0,20000,20000,0,100,"Выполнено по плану"
24,"Расчёт освоенного объёма",1,1,0,20000,20000,0,100,"Выполнено по плану"
25,"Подготовка отчёта практики №1",0,0,0,8800,8800,0,100,"Отчёт подготовлен"
26,"Подготовка отчёта практики №2 часть 1",0,0,0,8800,8800,0,100,"Отчёт подготовлен"
27,"Подготовка отчёта практики №2 часть 2",0,0,0,15400,15400,0,100,"Отчёт подготовлен"
TOTAL,"Итого по контролируемому контуру",20,21,1,386900,406900,20000,100,"Общее отклонение: +1 день и +20000 у.е."
